2023-04-12 13:25:59,507 INFO    MainThread:13772 [wandb_setup.py:_flush():68] Configure stats pid to 13772
2023-04-12 13:25:59,508 INFO    MainThread:13772 [wandb_setup.py:_flush():68] Loading settings from C:\Users\Burka\.config\wandb\settings
2023-04-12 13:25:59,508 INFO    MainThread:13772 [wandb_setup.py:_flush():68] Loading settings from C:\Users\Burka\Documents\School\Letny semester 22-23\Neuronky\ns-zadanie2\wandb\settings
2023-04-12 13:25:59,508 INFO    MainThread:13772 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-04-12 13:25:59,509 INFO    MainThread:13772 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-04-12 13:25:59,509 INFO    MainThread:13772 [wandb_init.py:_log_setup():492] Logging user logs to C:\Users\Burka\Documents\School\Letny semester 22-23\Neuronky\ns-zadanie2\wandb\run-20230412_132559-ehjm0hrg\logs\debug.log
2023-04-12 13:25:59,509 INFO    MainThread:13772 [wandb_init.py:_log_setup():493] Logging internal logs to C:\Users\Burka\Documents\School\Letny semester 22-23\Neuronky\ns-zadanie2\wandb\run-20230412_132559-ehjm0hrg\logs\debug-internal.log
2023-04-12 13:25:59,509 INFO    MainThread:13772 [wandb_init.py:_jupyter_setup():438] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x0000019D51F42E60>
2023-04-12 13:25:59,509 INFO    MainThread:13772 [wandb_init.py:init():532] calling init triggers
2023-04-12 13:25:59,509 INFO    MainThread:13772 [wandb_init.py:init():538] wandb.init called with sweep_config: {}
config: {}
2023-04-12 13:25:59,509 INFO    MainThread:13772 [wandb_init.py:init():588] starting backend
2023-04-12 13:25:59,509 INFO    MainThread:13772 [wandb_init.py:init():592] setting up manager
2023-04-12 13:25:59,522 INFO    MainThread:13772 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2023-04-12 13:25:59,548 INFO    MainThread:13772 [wandb_init.py:init():599] backend started and connected
2023-04-12 13:25:59,617 INFO    MainThread:13772 [wandb_run.py:_label_probe_notebook():1203] probe notebook
2023-04-12 13:25:59,617 INFO    MainThread:13772 [wandb_run.py:_label_probe_notebook():1213] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-04-12 13:25:59,622 INFO    MainThread:13772 [wandb_init.py:init():687] updated telemetry
2023-04-12 13:25:59,861 INFO    MainThread:13772 [wandb_init.py:init():727] communicating run to backend with 60.0 second timeout
2023-04-12 13:26:00,430 INFO    MainThread:13772 [wandb_run.py:_on_init():2134] communicating current version
2023-04-12 13:26:00,612 INFO    MainThread:13772 [wandb_run.py:_on_init():2143] got version response upgrade_message: "wandb version 0.14.2 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-04-12 13:26:00,612 INFO    MainThread:13772 [wandb_init.py:init():775] starting run threads in backend
2023-04-12 13:26:00,872 INFO    MainThread:13772 [wandb_run.py:_console_start():2114] atexit reg
2023-04-12 13:26:00,872 INFO    MainThread:13772 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-04-12 13:26:00,872 INFO    MainThread:13772 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-04-12 13:26:00,872 INFO    MainThread:13772 [wandb_run.py:_redirect():2059] Redirects installed.
2023-04-12 13:26:00,872 INFO    MainThread:13772 [wandb_init.py:init():817] run started, returning control to user process
2023-04-12 13:26:00,872 INFO    MainThread:13772 [wandb_config.py:__setitem__():155] config set epochs = 1000 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x0000019D52D2D900>>
2023-04-12 13:26:00,872 INFO    MainThread:13772 [wandb_run.py:_config_callback():1250] config_cb epochs 1000 None
2023-04-12 13:26:00,872 INFO    MainThread:13772 [wandb_config.py:__setitem__():155] config set batch_size = 128 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x0000019D52D2D900>>
2023-04-12 13:26:00,877 INFO    MainThread:13772 [wandb_run.py:_config_callback():1250] config_cb batch_size 128 None
2023-04-12 13:26:00,878 INFO    MainThread:13772 [jupyter.py:save_ipynb():379] not saving jupyter notebook
2023-04-12 13:26:00,878 INFO    MainThread:13772 [wandb_init.py:_pause_backend():403] pausing backend
2023-04-12 13:26:14,529 INFO    MainThread:13772 [wandb_init.py:_resume_backend():408] resuming backend
2023-04-12 13:26:14,598 INFO    MainThread:13772 [jupyter.py:save_ipynb():379] not saving jupyter notebook
2023-04-12 13:26:14,601 INFO    MainThread:13772 [wandb_init.py:_pause_backend():403] pausing backend
2023-04-12 13:26:17,427 INFO    MainThread:13772 [wandb_init.py:_resume_backend():408] resuming backend
